n,area_n,area_w,disp_n,disp_w
69100,0.94828,0.95871,0.00399,0.01502
69600,0.94330,0.95531,0.00129,0.01143
70100,0.94606,0.96098,0.00163,0.01743
70600,0.94276,0.93669,0.00186,0.00829
71100,0.94272,0.93037,0.00190,0.01498
71600,0.94255,0.93175,0.00209,0.01352
72100,0.94409,0.94929,0.00045,0.00505
72600,0.94478,0.94262,0.00028,0.00201
73100,0.94637,0.93990,0.00197,0.00489
73600,0.94232,0.95425,0.00232,0.01030
74100,0.94543,0.94269,0.00096,0.00193
74600,0.94199,0.95214,0.00267,0.00807
75100,0.94058,0.94568,0.00417,0.00123
75600,0.94883,0.94765,0.00456,0.00332
76100,0.94377,0.93683,0.00079,0.00814
76600,0.94643,0.94632,0.00202,0.00191
77100,0.94149,0.95128,0.00321,0.00716
77600,0.94563,0.93914,0.00118,0.00569
78100,0.94440,0.94209,0.00013,0.00257
78600,0.94598,0.93523,0.00154,0.00983
79100,0.94591,0.95611,0.00147,0.01228
79600,0.94403,0.94266,0.00051,0.00197
80100,0.94533,0.94624,0.00086,0.00182
80600,0.94865,0.93784,0.00438,0.00707
81100,0.94539,0.95723,0.00093,0.01346
81600,0.94450,0.94922,0.00002,0.00498
82100,0.94630,0.94533,0.00189,0.00086
82600,0.94775,0.94043,0.00342,0.00432
83100,0.94579,0.95092,0.00135,0.00678
83600,0.94441,0.94163,0.00012,0.00306
84100,0.94411,0.94297,0.00043,0.00164
84600,0.94433,0.95314,0.00020,0.00913
85100,0.94589,0.94217,0.00145,0.00249
85600,0.94480,0.95404,0.00030,0.01008
86100,0.94271,0.93913,0.00191,0.00570
86600,0.94079,0.95650,0.00395,0.01268
87100,0.94225,0.95569,0.00240,0.01183
87600,0.94551,0.96844,0.00105,0.02533
88100,0.94137,0.94474,0.00333,0.00023
88600,0.94151,0.94204,0.00319,0.00263
89100,0.94597,0.96687,0.00154,0.02366
89600,0.94873,0.96451,0.00446,0.02117
90100,0.94498,0.95635,0.00049,0.01253
90600,0.94232,0.94474,0.00233,0.00024
91100,0.94277,0.95855,0.00185,0.01486
91600,0.94303,0.93793,0.00158,0.00697
92100,0.94425,0.95480,0.00029,0.01088
92600,0.94549,0.96150,0.00103,0.01799
93100,0.94400,0.93546,0.00055,0.00959
93600,0.94439,0.93918,0.00013,0.00565
94100,0.94191,0.95052,0.00276,0.00635
94600,0.94384,0.95330,0.00071,0.00930
95100,0.94372,0.96577,0.00085,0.02250
95600,0.94405,0.93896,0.00049,0.00588
96100,0.94101,0.95097,0.00371,0.00683
96600,0.94462,0.94313,0.00011,0.00147
97100,0.94425,0.94358,0.00029,0.00099
97600,0.94246,0.93805,0.00218,0.00685
98100,0.94642,0.95913,0.00201,0.01547
98600,0.94625,0.94776,0.00183,0.00343
99100,0.94372,0.94190,0.00085,0.00277
99600,0.94444,0.95279,0.00008,0.00876
